epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.495,1.24922,1.3749,1.28921,0.79766,0.70082,0.77837,0.523,1.04306,0.77023,1.13924,0.00332856,0.00332856,0.00332856
2,202.192,1.15239,0.85151,1.22907,0.845,0.71577,0.78219,0.55674,1.05928,0.80559,1.16667,0.00662892,0.00662892,0.00662892
3,297.233,1.24418,0.97273,1.29809,0.81312,0.66245,0.75718,0.48214,1.22434,0.99211,1.29374,0.00989628,0.00989628,0.00989628
4,391.75,1.31901,1.07324,1.373,0.73853,0.75405,0.81314,0.53649,1.24091,0.97047,1.3145,0.0098515,0.0098515,0.0098515
5,486.289,1.2705,1.00145,1.3444,0.82565,0.77202,0.85455,0.58584,1.12242,0.84037,1.23061,0.009802,0.009802,0.009802
6,580.753,1.22609,0.93774,1.31606,0.79811,0.77142,0.83949,0.56435,1.1049,0.78554,1.22282,0.0097525,0.0097525,0.0097525
7,675.436,1.18,0.89348,1.28716,0.89294,0.82543,0.89529,0.61591,1.04611,0.77376,1.1953,0.009703,0.009703,0.009703
8,770.06,1.15204,0.8555,1.27137,0.85027,0.82396,0.90165,0.6449,1.04004,0.73565,1.17542,0.0096535,0.0096535,0.0096535
9,864.436,1.13059,0.82861,1.25865,0.75503,0.86763,0.87427,0.64305,1.0169,0.73802,1.17367,0.009604,0.009604,0.009604
10,958.77,1.10172,0.7942,1.23537,0.85283,0.8567,0.91328,0.6692,1.00518,0.68291,1.14903,0.0095545,0.0095545,0.0095545
11,1053.27,1.08215,0.77589,1.22508,0.8535,0.8377,0.87223,0.61996,0.98369,0.68012,1.14635,0.009505,0.009505,0.009505
12,1148.24,1.06273,0.75309,1.21388,0.7846,0.85665,0.90942,0.67756,0.96392,0.66463,1.12669,0.0094555,0.0094555,0.0094555
13,1242.52,1.04676,0.73768,1.20481,0.88156,0.86523,0.91242,0.6869,0.9383,0.64727,1.11833,0.009406,0.009406,0.009406
14,1337.07,1.02331,0.7142,1.19122,0.8354,0.8995,0.92148,0.68984,0.93377,0.63604,1.10476,0.0093565,0.0093565,0.0093565
15,1431.49,1.01231,0.6971,1.1767,0.8496,0.82841,0.90784,0.67537,0.95431,0.64937,1.10785,0.009307,0.009307,0.009307
16,1526.04,1.00156,0.68323,1.17561,0.88089,0.8718,0.92429,0.69701,0.93237,0.62493,1.11479,0.0092575,0.0092575,0.0092575
17,1620.73,0.98768,0.67418,1.16692,0.84022,0.88523,0.91562,0.70356,0.90838,0.60176,1.09964,0.009208,0.009208,0.009208
18,1715.18,0.98022,0.66564,1.16088,0.8623,0.90469,0.93495,0.70811,0.90699,0.59415,1.1016,0.0091585,0.0091585,0.0091585
19,1809.82,0.96399,0.65311,1.15184,0.8679,0.87967,0.92734,0.71231,0.90655,0.598,1.09516,0.009109,0.009109,0.009109
20,1904.37,0.9612,0.64869,1.14852,0.87698,0.88261,0.93393,0.71257,0.90152,0.57789,1.09054,0.0090595,0.0090595,0.0090595
21,1998.87,0.94754,0.63935,1.14437,0.8543,0.88487,0.91895,0.6836,0.88254,0.57473,1.08071,0.00901,0.00901,0.00901
22,2093.52,0.9385,0.63162,1.13474,0.85907,0.90605,0.92846,0.71777,0.8955,0.5664,1.07645,0.0089605,0.0089605,0.0089605
23,2187.83,0.93512,0.62077,1.13358,0.83012,0.91155,0.94397,0.72656,0.87619,0.56175,1.0702,0.008911,0.008911,0.008911
24,2282.53,0.92346,0.61727,1.12686,0.85864,0.89253,0.92041,0.71513,0.87208,0.56915,1.07039,0.0088615,0.0088615,0.0088615
25,2377.1,0.91265,0.60617,1.12118,0.84702,0.8913,0.93211,0.70073,0.87201,0.57252,1.06952,0.008812,0.008812,0.008812
26,2471.52,0.91077,0.6003,1.1193,0.88237,0.90727,0.93641,0.73818,0.84949,0.54425,1.05219,0.0087625,0.0087625,0.0087625
27,2566.12,0.89455,0.58451,1.10712,0.86984,0.90268,0.93272,0.74397,0.84078,0.5427,1.04873,0.008713,0.008713,0.008713
28,2660.69,0.88591,0.58672,1.10639,0.86201,0.88693,0.9198,0.72768,0.84688,0.54104,1.05699,0.0086635,0.0086635,0.0086635
29,2755.23,0.88187,0.57859,1.0983,0.86328,0.90559,0.93269,0.73105,0.84027,0.53703,1.04926,0.008614,0.008614,0.008614
30,2849.75,0.87871,0.5736,1.10093,0.85833,0.92923,0.94198,0.74316,0.8368,0.51738,1.04694,0.0085645,0.0085645,0.0085645
31,2944,0.87179,0.56889,1.09299,0.87363,0.89757,0.93849,0.74238,0.83721,0.52459,1.05067,0.008515,0.008515,0.008515
32,3038.44,0.86751,0.56624,1.08957,0.86879,0.92072,0.94608,0.75288,0.8361,0.52412,1.04949,0.0084655,0.0084655,0.0084655
33,3132.89,0.86421,0.55888,1.0904,0.88839,0.91943,0.93826,0.76047,0.81836,0.51763,1.03776,0.008416,0.008416,0.008416
34,3227.33,0.85936,0.55712,1.08871,0.89161,0.9069,0.94613,0.76309,0.81211,0.51171,1.02718,0.0083665,0.0083665,0.0083665
35,3321.92,0.85407,0.55076,1.08266,0.88945,0.93118,0.9386,0.74198,0.82431,0.50001,1.03981,0.008317,0.008317,0.008317
36,3416.63,0.84872,0.54914,1.08155,0.89181,0.90776,0.94704,0.75431,0.81486,0.50733,1.03826,0.0082675,0.0082675,0.0082675
37,3511.15,0.84163,0.54306,1.07778,0.88819,0.91333,0.94846,0.74531,0.82336,0.49598,1.03471,0.008218,0.008218,0.008218
38,3605.4,0.83847,0.5386,1.0761,0.90681,0.90252,0.94036,0.75482,0.81836,0.50072,1.03619,0.0081685,0.0081685,0.0081685
39,3700.07,0.83361,0.53308,1.07094,0.88444,0.92282,0.95105,0.76341,0.8061,0.49875,1.03302,0.008119,0.008119,0.008119
40,3794.39,0.82678,0.53187,1.06862,0.89559,0.94506,0.95726,0.76862,0.80109,0.4873,1.02849,0.0080695,0.0080695,0.0080695
41,3888.82,0.82177,0.52576,1.06114,0.88091,0.93517,0.9583,0.77692,0.79651,0.49032,1.02421,0.00802,0.00802,0.00802
42,3983.38,0.81357,0.52191,1.05873,0.89205,0.91659,0.95481,0.76979,0.7987,0.48456,1.02103,0.0079705,0.0079705,0.0079705
43,4077.81,0.81985,0.52249,1.06201,0.90625,0.92118,0.94672,0.76726,0.79143,0.49084,1.0269,0.007921,0.007921,0.007921
44,4172.17,0.80521,0.51466,1.05191,0.89603,0.92598,0.94706,0.76477,0.79464,0.48742,1.02932,0.0078715,0.0078715,0.0078715
