epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.78,1.29698,1.54427,1.3301,0.7365,0.73145,0.76708,0.51419,1.14918,0.80461,1.18403,0.00332856,0.00332856,0.00332856
2,224.484,1.15944,0.85136,1.24061,0.76105,0.71953,0.79295,0.54715,1.05193,0.7787,1.15464,0.00662892,0.00662892,0.00662892
3,330.593,1.21032,0.91694,1.27379,0.72548,0.73771,0.78439,0.50425,1.24505,0.92882,1.29444,0.00989628,0.00989628,0.00989628
4,436.286,1.27217,1.00558,1.34055,0.82521,0.74918,0.82708,0.56907,1.1281,0.91632,1.26121,0.0098515,0.0098515,0.0098515
5,546.312,1.23154,0.94656,1.31638,0.84019,0.79007,0.86122,0.57531,1.10822,0.80682,1.22512,0.009802,0.009802,0.009802
6,654.159,1.19148,0.89481,1.29069,0.79213,0.7749,0.83853,0.59172,1.08217,0.77952,1.20051,0.0097525,0.0097525,0.0097525
7,762.195,1.1577,0.85319,1.26891,0.88173,0.83698,0.88331,0.62788,1.07342,0.74643,1.19875,0.009703,0.009703,0.009703
8,870.073,1.12816,0.81995,1.25089,0.83404,0.85525,0.89674,0.59655,1.07655,0.72914,1.17344,0.0096535,0.0096535,0.0096535
9,979.799,1.11101,0.79549,1.24136,0.82429,0.8372,0.90795,0.6593,1.00312,0.69611,1.15815,0.009604,0.009604,0.009604
10,1088.17,1.07903,0.76643,1.2201,0.82078,0.8685,0.88738,0.64801,0.96531,0.66404,1.12471,0.0095545,0.0095545,0.0095545
11,1193.25,1.06395,0.75492,1.21113,0.85403,0.87022,0.89754,0.65794,0.99394,0.68577,1.14801,0.009505,0.009505,0.009505
12,1298.58,1.04126,0.72164,1.19656,0.84939,0.77263,0.86123,0.63981,0.95081,0.655,1.12298,0.0094555,0.0094555,0.0094555
13,1404.34,1.02784,0.71358,1.19065,0.8631,0.87866,0.92104,0.70061,0.95657,0.64868,1.12774,0.009406,0.009406,0.009406
14,1513.31,1.0064,0.69536,1.17888,0.84743,0.86265,0.91201,0.68531,0.94488,0.64162,1.12201,0.0093565,0.0093565,0.0093565
15,1618.48,0.99419,0.67939,1.16805,0.84074,0.86788,0.92078,0.6837,0.94806,0.63766,1.11341,0.009307,0.009307,0.009307
16,1724.89,0.98479,0.66791,1.1618,0.87704,0.86246,0.91739,0.68008,0.94492,0.62022,1.11936,0.0092575,0.0092575,0.0092575
17,1829.97,0.97128,0.65715,1.15427,0.84288,0.86844,0.91876,0.70214,0.91226,0.60931,1.09161,0.009208,0.009208,0.009208
18,1936.53,0.96042,0.6443,1.14437,0.84295,0.89395,0.92615,0.6935,0.91029,0.60245,1.09402,0.0091585,0.0091585,0.0091585
19,2041.56,0.94688,0.63413,1.13622,0.88143,0.86573,0.92269,0.71074,0.90641,0.59809,1.10445,0.009109,0.009109,0.009109
20,2147.96,0.94168,0.63002,1.13332,0.86153,0.89094,0.92407,0.70902,0.91425,0.59874,1.10128,0.0090595,0.0090595,0.0090595
21,2250.74,0.93045,0.62066,1.13,0.87534,0.89026,0.92714,0.72468,0.89047,0.59352,1.08845,0.00901,0.00901,0.00901
22,2343,0.92383,0.61357,1.12071,0.88188,0.90588,0.93985,0.71876,0.90105,0.57743,1.0782,0.0089605,0.0089605,0.0089605
23,2443.42,0.91998,0.60579,1.11834,0.86426,0.90597,0.9257,0.72582,0.88378,0.56378,1.07657,0.008911,0.008911,0.008911
24,2548.37,0.90152,0.59588,1.10935,0.8739,0.89942,0.93061,0.73275,0.86565,0.55927,1.06055,0.0088615,0.0088615,0.0088615
