epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10452.2,1.07304,0.87327,1.03008,0.46702,0.48276,0.50017,0.27885,1.75344,1.2409,1.11225,0.000848969,0.000848969,0.000848969
43,10691.3,1.09612,0.92651,1.03813,0.51064,0.57955,0.50823,0.29004,1.73431,1.20268,1.11262,0.000834822,0.000834822,0.000834822
44,10933.1,1.06745,0.91081,1.03287,0.52713,0.61364,0.52186,0.30111,1.63721,1.17651,1.07611,0.000820675,0.000820675,0.000820675
45,11199.4,1.08131,0.9069,1.03953,0.60271,0.54049,0.53004,0.30389,1.62425,1.17361,1.05286,0.000806528,0.000806528,0.000806528
46,11440.1,1.07656,0.8866,1.02913,0.56887,0.54768,0.5236,0.28629,1.69375,1.45893,1.08722,0.00079238,0.00079238,0.00079238
47,11678.8,1.07569,0.89316,1.03669,0.58497,0.56818,0.53161,0.30273,1.65734,1.06038,1.07394,0.000778233,0.000778233,0.000778233
48,11917.5,1.05315,0.86705,1.02606,0.50532,0.56818,0.51629,0.29277,1.66045,1.08347,1.0833,0.000764086,0.000764086,0.000764086
49,12158.2,1.044,0.86309,1.0175,0.57506,0.54545,0.51824,0.2968,1.64297,1.27581,1.06779,0.000749939,0.000749939,0.000749939
50,12398.5,1.02953,0.86508,1.00539,0.70513,0.53955,0.53518,0.30202,1.63008,1.08428,1.06104,0.000735792,0.000735792,0.000735792
51,12637.8,1.06855,0.87292,1.01986,0.54953,0.56818,0.52829,0.29572,1.69482,1.15217,1.08966,0.000721645,0.000721645,0.000721645
52,12878.2,1.04007,0.82908,1.02142,0.69603,0.55384,0.56135,0.32324,1.6319,0.97766,1.06826,0.000707498,0.000707498,0.000707498
53,13116.4,1.04278,0.84548,1.02721,0.5812,0.56818,0.52763,0.30447,1.63188,1.1023,1.0595,0.000693351,0.000693351,0.000693351
54,13355.5,1.02322,0.83142,1.00178,0.56098,0.56818,0.5222,0.31028,1.67469,1.22195,1.06702,0.000679204,0.000679204,0.000679204
55,13594.2,1.02836,0.87113,1.01294,0.56243,0.59091,0.53137,0.2979,1.71535,1.41481,1.08155,0.000665057,0.000665057,0.000665057
56,13836.1,1.00931,0.82362,0.9993,0.56368,0.56818,0.54938,0.31931,1.66208,1.03972,1.07245,0.000650909,0.000650909,0.000650909
57,14074.2,1.0124,0.8085,1.00353,0.58962,0.53409,0.5307,0.30006,1.64171,1.13843,1.08288,0.000636762,0.000636762,0.000636762
58,14313.2,1.02861,0.82735,1.00444,0.5346,0.54545,0.5232,0.28746,1.69922,1.22921,1.08973,0.000622615,0.000622615,0.000622615
59,14552.8,0.99027,0.7772,0.99469,0.567,0.52273,0.51746,0.29595,1.68829,1.05281,1.08482,0.000608468,0.000608468,0.000608468
60,14791.8,0.98203,0.80697,0.99419,0.57195,0.55682,0.52071,0.28349,1.76765,1.14506,1.10827,0.000594321,0.000594321,0.000594321
61,15030.8,0.99729,0.80056,0.99996,0.55108,0.54545,0.52122,0.29286,1.6659,1.0651,1.07249,0.000580174,0.000580174,0.000580174
62,15272.6,0.9921,0.77839,0.98479,0.6717,0.52273,0.52225,0.30236,1.62551,1.13157,1.069,0.000566027,0.000566027,0.000566027
