epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.268,1.20004,1.26001,1.31111,0.8791,0.75184,0.86154,0.63248,0.96609,0.62891,1.11139,0.00332697,0.00332697,0.00332697
2,389.236,1.06958,0.76223,1.22569,0.73418,0.76665,0.80983,0.58242,0.96198,0.71912,1.13515,0.00662734,0.00662734,0.00662734
3,581.248,1.13716,0.86214,1.27507,0.7292,0.73329,0.78864,0.5158,1.12427,0.92856,1.261,0.0098947,0.0098947,0.0098947
4,771.926,1.22062,0.95166,1.34301,0.76488,0.76916,0.84026,0.58402,1.07985,0.85413,1.2338,0.0098515,0.0098515,0.0098515
5,972.243,1.17649,0.89627,1.31459,0.87148,0.74946,0.84682,0.59553,1.07169,0.7821,1.21915,0.009802,0.009802,0.009802
6,1167.62,1.1381,0.84327,1.29476,0.85302,0.82273,0.90934,0.64741,1.03576,0.7189,1.18724,0.0097525,0.0097525,0.0097525
7,1366.54,1.09676,0.79469,1.26423,0.74733,0.84338,0.84674,0.56629,0.99276,0.69495,1.18327,0.009703,0.009703,0.009703
8,1560.66,1.07088,0.76248,1.25422,0.80928,0.83366,0.89555,0.66033,0.95186,0.67718,1.15588,0.0096535,0.0096535,0.0096535
9,1754.82,1.04893,0.73704,1.24083,0.84172,0.85971,0.91139,0.68085,0.94321,0.67935,1.15271,0.009604,0.009604,0.009604
10,1936.99,1.01885,0.7067,1.22092,0.89737,0.87812,0.93609,0.70372,0.93173,0.6371,1.14047,0.0095545,0.0095545,0.0095545
11,2129.38,1.00059,0.69069,1.20313,0.90542,0.8651,0.92532,0.70046,0.91921,0.62119,1.1294,0.009505,0.009505,0.009505
12,2313.4,0.98287,0.67484,1.20217,0.82853,0.86331,0.90692,0.70159,0.88317,0.58486,1.10988,0.0094555,0.0094555,0.0094555
13,2499.04,0.97047,0.65593,1.18799,0.90602,0.88498,0.93954,0.72075,0.88757,0.58373,1.11538,0.009406,0.009406,0.009406
14,2681.85,0.94544,0.64443,1.17841,0.87088,0.89569,0.92928,0.71278,0.88564,0.57345,1.11332,0.0093565,0.0093565,0.0093565
15,2860.06,0.93467,0.62013,1.16855,0.83715,0.90507,0.92573,0.71623,0.86126,0.56457,1.0994,0.009307,0.009307,0.009307
16,3038.45,0.92529,0.60991,1.162,0.89369,0.8625,0.93495,0.72973,0.85008,0.55858,1.08782,0.0092575,0.0092575,0.0092575
17,3217.12,0.91088,0.599,1.15473,0.89033,0.90993,0.94872,0.72607,0.85834,0.5545,1.0933,0.009208,0.009208,0.009208
18,3395.31,0.89762,0.59072,1.13939,0.85578,0.90326,0.93799,0.72642,0.84005,0.53323,1.08279,0.0091585,0.0091585,0.0091585
